,raw_data,counter,sent_time,received_time,time_delay
0,"counter=16, time=05:34:17.208457",16,05:34:17.208457,05:34:17.724932,0.5164750000003551
1,"counter=17, time=05:34:18.210137",17,05:34:18.210137,05:34:18.725838,0.5157010000002629
2,"counter=18, time=05:34:19.211511",18,05:34:19.211511,05:34:19.726666,0.5151549999973213
3,"counter=19, time=05:34:20.213080",19,05:34:20.213080,05:34:20.729363,0.5162829999972018
4,"counter=20, time=05:34:21.214442",20,05:34:21.214442,05:34:21.730435,0.5159930000008899
5,"counter=21, time=05:34:22.216027",21,05:34:22.216027,05:34:22.731250,0.5152230000021518
6,"counter=22, time=05:34:23.217409",22,05:34:23.217409,05:34:23.732906,0.5154970000003232
7,"counter=23, time=05:34:24.219167",23,05:34:24.219167,05:34:24.734800,0.5156329999990703
8,"counter=24, time=05:34:25.220556",24,05:34:25.220556,05:34:25.735879,0.5153229999996256
9,"counter=25, time=05:34:26.222132",25,05:34:26.222132,05:34:26.737169,0.5150370000010298
10,"counter=26, time=05:34:27.223815",26,05:34:27.223815,05:34:27.739334,0.515519000000495
11,"counter=27, time=05:34:28.225202",27,05:34:28.225202,05:34:28.740281,0.5150789999970584
12,"counter=28, time=05:34:29.226790",28,05:34:29.226790,05:34:29.742442,0.5156519999982265
13,"counter=29, time=05:34:30.228186",29,05:34:30.228186,05:34:30.743274,0.5150880000001052
14,"counter=30, time=05:34:31.229847",30,05:34:31.229847,05:34:31.743991,0.5141440000006696
15,"counter=31, time=05:34:32.231273",31,05:34:32.231273,05:34:32.746888,0.5156150000002526
16,"counter=32, time=05:34:33.232890",32,05:34:33.232890,05:34:33.747854,0.5149640000017826
17,"counter=33, time=05:34:34.234250",33,05:34:34.234250,05:34:34.748776,0.514525999999023
18,"counter=34, time=05:34:35.235842",34,05:34:35.235842,05:34:35.750606,0.514764000003197
19,"counter=35, time=05:34:36.237257",35,05:34:36.237257,05:34:36.752398,0.5151409999998577
20,"counter=36, time=05:34:37.238864",36,05:34:37.238864,05:34:37.754376,0.5155120000017632
21,"counter=37, time=05:34:38.240292",37,05:34:38.240292,05:34:38.754441,0.5141490000023623
22,"counter=38, time=05:34:39.241947",38,05:34:39.241947,05:34:39.756473,0.514526000002661
23,"counter=39, time=05:34:40.243331",39,05:34:40.243331,05:34:40.758313,0.5149819999969623
